FileName_OrigRNA,PathName_OrigRNA,FileName_OrigER,PathName_OrigER,FileName_OrigAGP,PathName_OrigAGP,FileName_OrigMito,PathName_OrigMito,FileName_OrigBrightfield,PathName_OrigBrightfield,FileName_OrigDNA,PathName_OrigDNA,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_AbsPositionZ,Metadata_AbsTime,Metadata_BinningX,Metadata_BinningY,Metadata_ChannelID,Metadata_ChannelName,Metadata_Col,Metadata_ExposureTime,Metadata_FieldID,Metadata_ImageResolutionX,Metadata_ImageResolutionY,Metadata_ImageSizeX,Metadata_ImageSizeY,Metadata_MainEmissionWavelength,Metadata_MainExcitationWavelength,Metadata_MaxIntensity,Metadata_ObjectiveMagnification,Metadata_ObjectiveNA,Metadata_PlaneID,Metadata_PositionX,Metadata_PositionY,Metadata_PositionZ,Metadata_Row
r01c01f01p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f01p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f01p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f01p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f01p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f01p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,BR00115134,A01,1,0.134647295,2020-08-13T22:15:11.96-04:00,2,2,5,HOECHST 33342,1,0.01,1,5.979760809567617E-07,5.979760809567617E-07,1080,1080,456,405,65535,20,1,1,0,0,-3E-06,1
r01c01f02p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f02p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f02p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f02p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f02p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f02p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,BR00115134,A01,2,0.134647802,2020-08-13T22:15:13.52-04:00,2,2,5,HOECHST 33342,1,0.01,2,5.979760809567617E-07,5.979760809567617E-07,1080,1080,456,405,65535,20,1,1,-0.000645814,0.000645814,-3E-06,1
r01c01f03p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f03p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f03p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f03p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f03p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f03p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,BR00115134,A01,3,0.134647399,2020-08-13T22:15:14.86-04:00,2,2,5,HOECHST 33342,1,0.01,3,5.979760809567617E-07,5.979760809567617E-07,1080,1080,456,405,65535,20,1,1,0,0.000645814,-3E-06,1
r01c01f04p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f04p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f04p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f04p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f04p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f04p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,BR00115134,A01,4,0.134645596,2020-08-13T22:15:16.203-04:00,2,2,5,HOECHST 33342,1,0.01,4,5.979760809567617E-07,5.979760809567617E-07,1080,1080,456,405,65535,20,1,1,0.000645814,0.000645814,-3E-06,1
r01c01f05p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f05p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f05p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f05p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f05p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f05p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,BR00115134,A01,5,0.134646103,2020-08-13T22:15:17.56-04:00,2,2,5,HOECHST 33342,1,0.01,5,5.979760809567617E-07,5.979760809567617E-07,1080,1080,456,405,65535,20,1,1,0.000645814,0,-3E-06,1
r01c01f06p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f06p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f06p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f06p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f06p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f06p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,BR00115134,A01,6,0.134645805,2020-08-13T22:15:18.917-04:00,2,2,5,HOECHST 33342,1,0.01,6,5.979760809567617E-07,5.979760809567617E-07,1080,1080,456,405,65535,20,1,1,-0.000645814,0,-3E-06,1
r01c01f07p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f07p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f07p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f07p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f07p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f07p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,BR00115134,A01,7,0.134648293,2020-08-13T22:15:20.243-04:00,2,2,5,HOECHST 33342,1,0.01,7,5.979760809567617E-07,5.979760809567617E-07,1080,1080,456,405,65535,20,1,1,-0.000645814,-0.000645814,-3E-06,1
r01c01f08p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f08p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f08p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f08p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f08p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f08p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,BR00115134,A01,8,0.134647995,2020-08-13T22:15:21.567-04:00,2,2,5,HOECHST 33342,1,0.01,8,5.979760809567617E-07,5.979760809567617E-07,1080,1080,456,405,65535,20,1,1,0,-0.000645814,-3E-06,1
r01c01f09p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f09p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f09p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f09p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f09p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c01f09p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,BR00115134,A01,9,0.134646297,2020-08-13T22:15:22.957-04:00,2,2,5,HOECHST 33342,1,0.01,9,5.979760809567617E-07,5.979760809567617E-07,1080,1080,456,405,65535,20,1,1,0.000645814,-0.000645814,-3E-06,1
r01c02f01p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c02f01p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c02f01p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c02f01p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c02f01p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,r01c02f01p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_07_11_JUMP-CP/2020_08_11_Stain3_Standard/images/BR00115134__2020-08-13T22_11_54-Measurement3/Images,BR00115134,A02,1,0.134630203,2020-08-13T22:15:24.423-04:00,2,2,5,HOECHST 33342,2,0.01,1,5.979760809567617E-07,5.979760809567617E-07,1080,1080,456,405,65535,20,1,1,0,0,-3E-06,1
